# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,
# Sat Aug 25 14:58:28 2012,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  order by pl_hostname asc,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#pl_hostname,pl_letter,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_radj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name
HD 137388,b,330,0.89,0.36,0.223,,,,,233.916367,-80.20459,38.45,8.696,5060,0.77,0.92,137388,76351
HD 13808,b,14.182,0.1017,0.17,0.0325,,,,,33.178856,-53.743893,28.6,8.381,5160,0.8,0.74,13808,10301
HD 13808,c,53.832,0.2476,0.43,0.036,,,,,33.178856,-53.743893,28.6,8.381,5160,0.8,0.74,13808,10301
HD 13931,b,4218,5.15,0.02,1.88,,,,,34.197414,43.772995,45.52,7.597,5740,1.04,1.28,13931,10626
HD 139357,b,1125.7,2.36,0.1,9.76,,,,,233.81749,53.922142,121.36,5.964,4490,,15.03,139357,76311
HD 141937,b,653.22,1.52,0.41,9.7,,,,,238.07312,-18.436066,33.46,7.25,5810,1.07,1.07,141937,77740
HD 142,b,350.3,1.045,0.26,1.31,,,,,1.579898,-49.075191,25.64,5.7,6200,1.22,1.43,142,522
HD 142022 A,b,1928,3.03,0.53,5.1,,,,,242.562592,-84.231613,35.87,7.655,5280,0.83,1.22,142022,79242
HD 142245,b,1299,2.77,0.32,1.9,,,,,238.234497,15.430708,106.38,7.452,4760,,5.44,142245,77783
HD 142415,b,386.3,1.05,0.5,1.62,,,,,239.419968,-60.200256,34.57,7.327,5780,1.05,1.08,142415,78169
HD 143361,b,1057,2,0.15,3.12,,,,,240.459778,-44.434536,59.35,9.225,5280,0.83,0.98,143361,78521
HD 145377,b,103.95,0.45,0.307,5.76,,,,,242.901855,-27.078173,55.19,8.095,5750,1.04,1.23,145377,79346
HD 145457,b,176.3,0.76,0.112,2.9,,,,,242.516312,26.74275,126.1,6.566,4760,,9.69,145457,79219
HD 1461,b,5.7727,0.063438,0.14,0.024,,,,,4.674448,-8.053001,23.44,6.46,5620,0.97,1.17,1461,1499
HD 1461,c,13.505,0.1117,0,0.0186,,,,,4.674448,-8.053001,23.44,6.46,5620,0.97,1.17,1461,1499
HD 147018,b,44.236,0.2388,0.4686,2.12,,,,,245.75061,-61.688763,42.68,8.301,5350,0.85,1.04,147018,80250
HD 147018,c,1008,1.922,0.133,6.56,,,,,245.75061,-61.688763,42.68,8.301,5350,0.85,1.04,147018,80250
HD 147513,b,528.4,1.32,0.26,1.21,,,,,246.005371,-39.192982,12.87,5.39,5820,1.07,0.97,147513,80337
HD 148156,b,1027,2.45,0.52,0.85,,,,,247.072006,-46.317623,53.05,7.689,6010,1.15,1.28,148156,80680
HD 148427,b,331.5,0.93,0.16,0.96,,,,,247.117294,-13.39964,59.28,6.895,4940,,3.48,148427,80687
HD 149026,b,2.8758911,0.04288,0,0.368,0.813,0.85,88,,247.623413,38.347309,78.86,8.137,6160,1.35,1.54,149026,80838
HD 149143,b,4.072,0.053,0.016,1.33,,,,,248.212708,2.084832,63.49,7.893,5660,0.99,1.61,149143,81022
HD 149382,b,2.391,,0,15.5,,,39,,248.597229,-4.014449,76.51,,,,,149382,81145
HD 1502,b,431.8,1.31,0.101,3.1,,,,,4.82111,14.054755,167.5,8.342,4950,,5.02,1502,1547
HD 150433,b,1096.2,1.9303,0,0.168,,,,,250.284225,-2.857277,29.55,7.21,5750,1.04,0.99,150433,81681
HD 152079,b,2097,3.2,0.6,3,,,,,253.373901,-46.332958,85.18,9.156,5410,0.88,1.36,152079,82632
HD 152581,b,689,1.48,0.22,1.5,,,,,253.431595,11.973746,182.82,8.347,5040,,5.17,152581,82651
HD 153950,b,499.4,1.28,0.34,2.73,,,,,256.128632,-43.309769,51.87,7.39,6070,1.18,1.4,153950,83547
HD 154088,b,18.596,0.1316,0.38,0.0193,,,,,256.116028,-28.582678,18.08,6.58,5210,0.81,1.05,154088,83541
HD 154345,b,3342,4.19,0.044,0.947,,,,,255.651688,47.081882,18.06,6.769,5430,0.89,0.86,154345,83389
HD 154672,b,163.9,0.6,0.61,5.02,,,,,257.520477,-56.449268,65.79,8.204,5530,0.93,1.54,154672,83983
HD 154857,b,409,1.2,0.47,1.8,,,,,257.815521,-56.680798,68.54,7.238,5570,0.94,2.45,154857,84069
HD 155358,b,194.3,0.64,0.17,0.85,,,,,257.394226,33.355854,43.4,7.27,6180,1.21,1.19,155358,83949
HD 155358,c,391.9,1.02,0.16,0.82,,,,,257.394226,33.355854,43.4,7.27,6180,1.21,1.19,155358,83949
HD 156279,b,131.05,0.495,0.708,9.71,,,,,258.09668,63.352093,35.37,8.077,5270,0.83,1,156279,84171
