#Country,Source Type,Date Time,Latitude,Longitude,Depth,Yield,Name,
USA,Underground,10/16/1958 06:00:00,37.184,-116.202,0.253,5,LOGAN,Rainier Mesa
USA,Atmospheric,10/16/1958 14:20:00,37.0867,-116.0236,-0.15,0.037,DONA ANA:Hardtack II,
USA,Atmospheric,10/17/1958 23:00:00,37.1225,-116.0347,0,0.024,VESTA:Hardtack II,
SOV,Atmospheric,10/18/1958 09:51:06,73.85,54.5,,2900,,
USA,Atmospheric,10/18/1958 14:25:00,37.0411,-116.0258,-0.02,0.09,RIO ARRIBA:Hardtack II,
SOV,Atmospheric,10/19/1958 00:00:00,73.85,54.5,-0.9,,,
SOV,Atmospheric,10/19/1958 07:27:00,73.85,54.5,,40,,
SOV,Atmospheric,10/20/1958 08:20:00,73.85,54.5,,440,,
USA,Underground,10/20/1958 14:30:00,37.05,-116.033,0.071,,SAN JUAN,US Yucca Flat
SOV,Atmospheric,10/21/1958 00:00:00,73.85,54.5,-0.27,2,,
SOV,Atmospheric,10/22/1958 08:21:04,73.85,54.5,-2.07,2800,,
USA,Atmospheric,10/22/1958 13:30:00,37.0867,-116.0236,-0.46,6,SOCORRO:Hardtack II,
USA,Atmospheric,10/22/1958 16:50:00,36.7981,-115.9289,-0.46,0.115,WRANGELL:Hardtack II,
USA,Atmospheric,10/22/1958 20:30:00,37.19,-116.07,-0.008,,OBERON:Hardtack II,
USA,Atmospheric,10/22/1958 23:40:00,37.1347,-116.0408,-0.15,0.188,RUSHMORE:Hardtack II,
SOV,Atmospheric,10/24/1958 08:03:06,73.85,54.5,-1.525,1000,,
USA,Atmospheric,10/24/1958 15:00:00,37.0431,-116.0269,-0.02,0.021,CATRON:Hardtack II,
USA,Atmospheric,10/24/1958 16:01:00,37.1233,-116.0378,0,0.0017,JUNO:Hardtack II,
SOV,Atmospheric,10/25/1958 00:00:00,73.85,54.5,-1.5,190,,
SOV,Atmospheric,10/25/1958 00:00:00,73.85,54.5,-0.3,,,
