"Name of Satellite, Alternate Names"	Country of Operator/Owner	Operator/Owner	Users	Purpose	Class of Orbit	Type of Orbit	Longitude of GEO (degrees)	Perigee (km)	Apogee (km)	Eccentricity	Inclination (degrees)	Period (minutes)	Launch Mass (kg.)	Dry Mass (kg.)	Power (watts)	Date of Launch	Expected Lifetime	Contractor	Country of Contractor	Launch Site	Launch Vehicle	COSPAR Number	NORAD Number	Comments		Source Used for Orbital Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																														
Amos 2 	Israel	Israel Aircraft Industries	Military/Commercial	Communications	GEO		-3.98	"35,778"	"35,794"	1.90E-04	0.05	1436.08	"1,400"	646	"1,900 (EOL)"	12/27/2003	12 yrs.	Israel Aircraft Industries (IAI)	Israel	Baikonur Cosmodrome	Soyuz-Fregat 	2003-059A	28132	"Ku-band communications, Europe, Middle East, East Coast of USA."		JM/12_08	http://www.israeli-weapons.com/weapons/space/amos/AMOS_2.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx602.html	http://www.spacecom.co.il/amos2launch/amos2launch.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																																
Amos 3	Israel	Space-Communication Ltd	Military/Commercial	Communications	GEO		-3.99	"35,783"	"35,789"	7.12E-05	0.04	1436.1				4/28/2008	12 yrs.	Israel Aircraft Industries (IAI)	Israel	Baikonur Cosmodrome	Zenit 3SLB	2008-022A	32794	"15 transponders, Ku and Ka bands."		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/spx654.html	http://www.lib.cas.cz/space.40/2008/I021A.HTM	http://www.amos-spacecom.com/amos1/page.asp?newsid=4&type=6&lang=1&cat=68	"http://www.ynetnews.com/articles/0,7340,L-3536659,00.html"	http://www.amos-spacecom.com/newsite/page.asp?cat=45&type=4&lang=1																																																																																																																																																																																																																															
Amos 5	Israel	Space-Communication Ltd	Military/Commercial	Communications	GEO		17	"35,595"	"36,007"	4.88E-03	0.09	1436.08	"1,600"			12/11/2011	15 yrs.	OAO ISS	Russia	Baikonur Cosmodrome	Proton M	2011-074A	37950	"14 C-band, 18 Ku-band."		JM/1_12	http://www.amos-spacecom.com/content.cfm/amos-4	http://www.lib.cas.cz/space.40/2011/074A.HTM																																																																																																																																																																																																																																		
Amsat-Oscar 7 (AO-7)	USA	Amsat-NA	Civil	Amateur Radio	LEO	Sun-Synchronous	0	"1,440"	"1,460"	1.28E-03	101.7	114.9	29			11/15/1974		Amsat-NA	USA	Vandenberg AFB	Delta 2310	1974-089B	7530	American amateur radio satellite.		JMSatcat1104	http://www.amsat.org/amsat-new/satellites/status.php	http://www.emilyshouse.com/experthams/ao7/main.php																																																																																																																																																																																																																																		
Anik F1 	Canada	"Telesat Canada Ltd. (BCE, Inc.)"	Commercial	Communications	GEO		-107.27	"35,778"	"35,793"	1.78E-04	0.02	1436.08	"4,710"	"2,950"	"15,500 (EOL)"	11/21/2000	15 yrs.	Boeing Satellite Systems	USA	Guiana Space Center	Ariane 44L	2000-076A	26624	"36 C-band and 48 Ku-band transponders; broadcasting, business; North and South America; faulty solar panels may affect operations by 2005."		JM/12_08		http://www.boeing.com/defense-space/space/bss/hsc_pressreleases/00_04_17_anikf2.html	http://www.telesat.ca/satellites/photos/satellites_gallery7.htm																																																																																																																																																																																																																																	
Anik F1R	Canada	"Telesat Canada Ltd. (BCE, Inc.)"	Commercial	Communications	GEO		-107.3	"35,777"	"35,795"	2.13E-04	0.02	1436.1	"4,500"		"10,000"	9/9/2005	15 yrs.	EADS Astrium	France/UK/Germany/Spain	Baikonur Cosmodrome	Proton M	2005-036A	28868	"32 Ku-band, 24 C-band transponders, 2 navigation transponders; North America."		JM/12_08	http://www.telesat.ca/satellites/index.htm	http://www.telesat.ca/news/2005/05-14.htm	http://www.space.eads.net/families/daily-life-benefits/communications/anik-f1r	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2005/036A.HTM																																																																																																																																																																																																																																
Anik F2 	Canada	"Telesat Canada Ltd. (BCE, Inc.)"	Commercial	Communications	GEO		-111.07	"35,781"	"35,790"	1.07E-04	0.01	1436.08	"5,910"	"3,805"	"16,000"	7/18/2004	15 yrs.	Boeing Satellite Systems	USA	Guiana Space Center	Ariane 5	2004-027A	28378	"24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada"		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://www.telesat.ca/satellites/index.htm	http://www.boeing.com/defense-space/space/bss/factsheets/702/anik_f2/anik_f2.html	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2004/027A.HTM																																																																																																																																																																																																																																
Anik F3	Canada	"Telesat Canada Ltd. (BCE, Inc.)"	Commercial	Communications	GEO		-118.69	"35,778"	"35,794"	1.90E-04	0.01	1436.1	"4,715"		"17,500"	4/9/2007	15 yrs.	EADS Astrium	France/UK/Germany/Spain	Baikonur Cosmodrome	Proton M	2007-009A	31102	"32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America."		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/spx642.html	http://www.telesat.ca/satellites/index-e.asp																																																																																																																																																																																																																																		
Anusat (Anna University Satellite)	India	Anna University	Civil/Government	Communications	LEO		0	404	552	1.08E-02	41.21	94.15	40		33	4/20/2009	2 yrs.	Anna University/IRSO	India	Satish Dhawan Space Center	PSLV C12	2009-019B	34808	First satellite built by Indian university under direction of IRSO. Will demonstrate to students store and forward communications.		SC - ASCR	http://www.southgatearc.org/news/april2009/anusat_launched.htm	http://collinfo.annauniv.edu:6060/mit/elex/microsat.htm	http://www.lib.cas.cz/space.40/2009/019B.HTM																																																																																																																																																																																																																																	
AprizeSat 1 (LatinSat-C)	Argentina	Aprize Satellites Argentina	Commercial	Communications (experimental)	LEO	Sun-Synchronous	0	687	753	4.65E-03	98.3	99.5	12	12		6/29/2004		Aprize Satellite 	Argentina	Baikonur Cosmodrome	Dnepr 1	2004-025G	28372	Messaging services.		JMSatcat304	http://www.spacenewsfeed.co.uk/2004/4July2004_11.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx608.html	http://www.spacenewsfeed.co.uk/2004/4July2004_11.html																																																																																																																																																																																																																																	
AprizeSat 2 (LatinSat-D)	Argentina	Aprize Satellites Argentina	Commercial	Communications (experimental)	LEO	Sun-Synchronous	0	673	699	1.84E-03	98.3		12	12		6/29/2004		Aprize Satellite 	Argentina	Baikonur Cosmodrome	Dnepr 1	2004-025A	28366	Messaging services.		JMSatcat304	http://www.spacenewsfeed.co.uk/2004/4July2004_11.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx608.html	http://www.spacenewsfeed.co.uk/2004/4July2004_11.html																																																																																																																																																																																																																																	
